cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rship2,rshipa2,rship3,rshipa3,rship4,rshipa4,rship5,rshipa5,rship6,rshipa6,rship7,rshipa7,rship8,rshipa8,rship9,rshipa9,rship10,rshipa10,rship11,rshipa11,rship12,rshipa12,rship13,rshipa13,rship14,rshipa14,rship15,rshipa15,rship16,rshipa16,rship17,rshipa17,rship18,rshipa18
FI,ESS1-7e01,1,08.12.2016,127793,ESS7e02_1,7,2.1,10061,1,1.279056379,0.218315716,3,1,2,2,6,6,6,6,6,6,6,6,6,6,,,,,,1976,38,1981,2014,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127794,ESS7e02_1,7,2.1,10063,1,0.951647909,0.218315716,3,1,2,2,6,6,6,6,6,6,6,6,6,6,,,,,,1974,41,1980,2004,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127795,ESS7e02_1,7,2.1,10066,1,1.279056379,0.218315716,2,1,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1972,42,1972,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,4,4,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127796,ESS7e02_1,7,2.1,10067,1,1.04886476,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1937,77,1929,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127797,ESS7e02_1,7,2.1,10068,1,0.795825118,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1947,67,1942,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127798,ESS7e02_1,7,2.1,10069,1,0.795825118,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1940,74,1934,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127799,ESS7e02_1,7,2.1,10070,1,1.1854046,0.218315716,4,2,1,2,1,6,6,6,6,6,6,6,6,6,,,,,,1984,30,1982,2009,2012,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127800,ESS7e02_1,7,2.1,10071,1,0.848411279,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1959,55,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127801,ESS7e02_1,7,2.1,10072,1,0.848411279,0.218315716,1,1,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1932,82,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127802,ESS7e02_1,7,2.1,10076,1,0.795825118,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1947,67,1946,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127803,ESS7e02_1,7,2.1,10077,1,1.425041088,0.218315716,3,2,1,2,6,6,6,6,6,6,6,6,6,6,,,,,,1980,34,1974,2012,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127804,ESS7e02_1,7,2.1,10081,1,0.848411279,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1953,61,1956,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127805,ESS7e02_1,7,2.1,10082,1,0.795825118,0.218315716,3,2,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,1947,67,1948,1988,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127806,ESS7e02_1,7,2.1,10083,1,0.951647909,0.218315716,4,1,2,1,2,6,6,6,6,6,6,6,6,6,,,,,,1975,39,1977,2009,2011,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127807,ESS7e02_1,7,2.1,10084,1,1.425041088,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1983,31,1979,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127808,ESS7e02_1,7,2.1,10085,1,0.960236462,0.218315716,2,2,1,6,6,6,6,6,6,6,6,6,6,6,,,,,,1945,69,1941,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127809,ESS7e02_1,7,2.1,10086,1,0.848411279,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1931,83,1933,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127810,ESS7e02_1,7,2.1,10087,1,0.913380809,0.218315716,7,2,1,2,1,2,1,2,6,6,6,6,6,6,,,,,,1965,49,1960,1995,1996,1998,2002,2004,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127811,ESS7e02_1,7,2.1,10090,1,1.440502854,0.218315716,4,1,2,1,1,6,6,6,6,6,6,6,6,6,,,,,,1997,18,1965,1969,2005,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,3,3,3,3,4,4,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127812,ESS7e02_1,7,2.1,10092,1,0.913380809,0.218315716,1,2,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,1964,50,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127813,ESS7e02_1,7,2.1,10102,1,0.951647909,0.218315716,4,1,2,2,2,6,6,6,6,6,6,6,6,6,,,,,,1965,49,1970,2004,2007,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127814,ESS7e02_1,7,2.1,10104,1,0.913380809,0.218315716,5,2,1,2,1,1,6,6,6,6,6,6,6,6,,,,,,1971,43,1977,2005,2007,2008,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,2,2,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127815,ESS7e02_1,7,2.1,10105,1,0.848411279,0.218315716,2,1,2,6,6,6,6,6,6,6,6,6,6,6,,,,,,1945,69,1950,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
FI,ESS1-7e01,1,08.12.2016,127816,ESS7e02_1,7,2.1,10106,1,0.913380809,0.218315716,3,2,1,1,6,6,6,6,6,6,6,6,6,6,,,,,,1971,43,1971,2003,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,,,,,,1,1,2,2,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,6,66,,,,,,,,,,
